mean1,std1,n1,dim1,dist1,mean2,std2,n2,dim2,dist2,time_pald_numpy,bound_pald_numpy
1,1,510,1,normal,1,1,410,1,normal,33.25123381614685,0.0024571972690627343
1,1,510,1,normal,1,1,410,1,normal,32.86126089096069,0.002462415947834755
1,1,610,1,normal,1,1,410,1,normal,41.461164236068726,0.0022532504781774725
1,1,610,1,normal,1,1,410,1,normal,41.02472901344299,0.00225340063821181
1,1,610,1,normal,1,1,410,1,normal,41.250593185424805,0.002252690728186829
1,1,610,1,normal,1,1,410,1,normal,40.964502811431885,0.002255070831114712
1,1,610,1,normal,1,1,410,1,normal,41.1363320350647,0.0022555912566184994
1,1,710,1,normal,1,1,410,1,normal,50.547213077545166,0.002082512060264322
1,1,710,1,normal,1,1,410,1,normal,50.50134015083313,0.002078397814064007
1,1,710,1,normal,1,1,410,1,normal,50.17032051086426,0.0020750887621682184
1,1,710,1,normal,1,1,410,1,normal,50.32270693778992,0.0020763927816890653
1,1,710,1,normal,1,1,410,1,normal,50.19409108161926,0.002075633083298859
1,1,810,1,normal,1,1,410,1,normal,59.71713662147522,0.0019300926814502489
1,1,810,1,normal,1,1,410,1,normal,60.155200719833374,0.0019306335492986272
1,1,810,1,normal,1,1,410,1,normal,60.52204132080078,0.001931635156202636
1,1,810,1,normal,1,1,410,1,normal,59.995781898498535,0.001931360316609388
1,1,810,1,normal,1,1,410,1,normal,60.08424210548401,0.0019318627803793223
1,1,910,1,normal,1,1,410,1,normal,71.67334508895874,0.0018065058639977725
1,1,910,1,normal,1,1,410,1,normal,72.0797266960144,0.00179883129962627
1,1,910,1,normal,1,1,410,1,normal,71.32469129562378,0.0018046873934067299
1,1,910,1,normal,1,1,410,1,normal,70.92601108551025,0.0018075157332155057
1,1,910,1,normal,1,1,410,1,normal,71.4654712677002,0.0018037012337314274
1,1,10,1,normal,1,1,510,1,normal,10.092495918273926,0.003988739706159643
1,1,10,1,normal,1,1,510,1,normal,10.091995239257812,0.0039900387368757015
1,1,10,1,normal,1,1,510,1,normal,10.170440673828125,0.003990098403027608
1,1,10,1,normal,1,1,510,1,normal,10.053706645965576,0.003991069470708872
1,1,10,1,normal,1,1,510,1,normal,10.025542736053467,0.004003589021566472
