mean1,std1,n1,dim1,dist1,mean2,std2,n2,dim2,dist2,time_pald_numpy,time_pald_cupy_multistream,time_pald_cupy,time_pald_cupy_loop,time_pald_cupy_kernels,bound_pald_numpy,bound_pald_cupy_multistream,bound_pald_cupy,bound_pald_cupy_loop,bound_pald_cupy_kernels
0,1,410,1,normal,0,1,210,1,normal,10.384119510650635,0.0363314151763916,79.85676193237305,0.03352856636047363,25.467620611190796,0.0034336427590153395,0.0034336436179376417,0.0034336427590153395,0.0034336436179376417,0.0034336436179376417
0,1,410,1,normal,0,1,210,1,normal,10.292911529541016,0.03433704376220703,79.19303464889526,0.03353691101074219,25.581748723983765,0.003439584716080284,0.003439585624202605,0.003439584716080284,0.003439585624202605,0.003439585624202605
0,1,610,1,normal,0,1,210,1,normal,18.014216423034668,0.04623246192932129,138.37081861495972,0.044057369232177734,45.54106402397156,0.0027186057321952864,0.002718606809290444,0.0027186057321952864,0.002718606809290444,0.002718606809290444
0,1,610,1,normal,0,1,210,1,normal,18.05939030647278,0.04654574394226074,138.12586784362793,0.04352164268493652,44.42610216140747,0.0027142984024186266,0.002714299574130919,0.0027142984024186266,0.002714299574130919,0.002714299574130919
0,1,610,1,normal,0,1,210,1,normal,18.074976921081543,0.0462641716003418,137.88919973373413,0.043547868728637695,44.42428636550903,0.002700820301324869,0.002700821364798197,0.002700820301324869,0.002700821074043832,0.002700821074043832
0,1,610,1,normal,0,1,210,1,normal,17.958791255950928,0.045847415924072266,137.82715678215027,0.04356551170349121,44.36963939666748,0.002713028669144036,0.0027130301405743854,0.002713028669144036,0.002713029849820021,0.0027130301405743854
0,1,610,1,normal,0,1,210,1,normal,17.95826745033264,0.04553842544555664,137.5606882572174,0.043912649154663086,44.26739716529846,0.002713484011889314,0.0027134857526639614,0.002713484011889314,0.0027134857526639614,0.002713486043418326
0,1,810,1,normal,0,1,210,1,normal,28.432942628860474,0.08914041519165039,211.1158802509308,0.05657529830932617,69.1733067035675,0.0022536845116761565,0.0022536834081013997,0.0022536845116761565,0.0022536834081013997,0.00225368294061399
0,1,810,1,normal,0,1,210,1,normal,28.52067470550537,0.055702924728393555,211.57570457458496,0.057047128677368164,68.41076159477234,0.0022477207369732163,,0.0022477207369732163,0.0022477199049556955,0.0022477199049556955
0,1,810,1,normal,0,1,210,1,normal,28.359446048736572,0.05575728416442871,211.41833090782166,0.05733799934387207,68.76913046836853,0.002249640169258152,,0.002249640169258152,0.0022496391745174633,0.0022496389407737584
